사용장소,주소,사용금액,lat,lng,거리
바달비,서울 관악구 봉천로12길 17 바달비,563000,37.4879728,126.9294904,2233.0424485795265
바로수제햄부대찌개,서울 관악구 봉천로 378 바로수제햄부대찌개,93000,37.4830635,126.9417526,1024.1022971380396
바르미스시뷔페,서울 서초구 방배천로 11 바르미스시뷔페,237400,37.4777432,126.9822899,2715.157653319882
바우네나주곰탕,서울 관악구 봉천로 309 바우네나주곰탕,159000,37.4865218,126.9351354,1723.1959834394477
바우네족발,서울 관악구 원신길 131 바우네족발,380000,37.5062485,126.9139521,4559.495385186744
바지락손칼국수,서울 관악구 남부순환로 1739 바지락손칼국수,20000,37.4684905,126.9359764,1738.6368910558
박가네능이백숙삼계탕,서울 금천구 남부순환로 1372 박가네능이백숙삼계탕,208000,37.4795556,126.903364,4252.841191659163
박승자당진아구동태찜탕,서울 관악구 난우길 20 박승자당진아구동태찜탕,100000,37.4873488,126.9270324,2393.588919442
배가네동태탕찜,서울 관악구 관악로15길 6 배가네동태탕찜,102000,37.4803621,126.9520513,256.45788295744075
배바우,서울 관악구 신림로56길 7 배바우,100000,37.4813292,126.930562,1884.36382939232
백상갈비,서울 관악구 낙성대로 백상갈비,100000,37.4769665,126.9587711,651.6831078016897
백채,서울 관악구 청룡1길 25 백채,184000,37.481195,126.9477273,480.76980024894164
버드나무,서울 관악구 낙성대로 15 버드나무,111500,37.47711280000001,126.9593789,701.6777063798683
베리베리,서울 관악구 관악로 148 베리베리,116000,37.4784177,126.9525726,99.28540717886806
베어문,서울 관악구 호암로22길 29 베어문,13000,37.4689172,126.934316,1829.5685512115003
별난왕족발보쌈,서울 관악구 봉천로 356 별난왕족발보쌈,328000,37.4839026,126.9393629,1252.4735694744559
별미집,서울 관악구 봉천로 604 별미집,56000,37.4758907,126.964064,1133.3783098560568
병천순대,서울 관악구 난우길 41 병천순대,108000,37.4761947,126.9171768,3038.2826988985935
병천순대국,서울 관악구 호암로22길 80 병천순대국,21000,37.4684044,126.9371288,1665.7347837741538
보글보글지글지글,서울 관악구 난우길 47 보글보글지글지글,30000,37.4768012,126.916882,3060.3138041166485
보배곱창,서울 관악구 난곡로26길 10 보배곱창,283000,37.470491,126.920412,2872.765563097843
보현푸드,서울 관악구 남부순환로 1802 보현푸드,399200,37.481105,126.950276,352.45445592791117
복돈이생고기,서울 관악구 남부순환로 1626 복돈이생고기,57000,37.4841477,126.9311698,1918.040607033003
본가숯불갈비,서울 관악구 난곡로65길 3 본가숯불갈비,60000,37.4822687,126.9140408,3339.9488279020748
본가짜장,서울 관악구 난곡로 50 본가짜장,52000,37.4604317,126.9201169,3397.043686828804
본전순대국,서울 관악구 봉천로 399 본전순대국,65000,37.4831125,126.9444964,834.2317080895555
본죽,서울 관악구 관악로 144 본죽,288000,37.4779144,126.9526078,97.7005709583973
본죽,서울 관악구 관악로 144  본죽,256000,37.4779144,126.9526078,97.7005709583973
본죽,서울 관악구 남부순환로 1631-1 본죽,20000,37.4847761,126.9320084,1875.494511738891
본죽,서울 관악구 남부순환로 1741 본죽,51000,37.4820567,126.9297659,1969.8604736697234
봉떡,서울 관악구 은천로 86 봉떡,11500,37.486825,126.9456578,1100.2131843608072
봉이구이대장,서울 관악구 난곡로 104 봉이구이대장,332000,37.4653113,126.919952,3127.8500688590448
봉천곱창,서울 관악구 봉천로 481 봉천곱창,48800,37.4820447,126.9537521,481.2879364348472
봉천동진순자김밥,서울 관악구 청룡1길 19 봉천동진순자김밥,323000,37.4811988,126.9475314,493.26741849098204
봉천함흥냉면,서울 관악구 은천로2길 35 봉천함흥냉면,65000,37.4855626,126.938791,1397.1491154247292
부림식당,서울 관악구 청룡1길 7 부림식당,52000,37.4812669,126.9465861,560.6531388235002
부산복집,서울 서초구 반포대로20길 10 부산복집,724000,37.487545,127.0104964,5308.623264109164
북경반점,서울 관악구 남부순환로 1620 북경반점,763000,37.4829798,126.9374843,1352.749378727824
북촌손만두,서울 관악구 관악로 174 북촌손만두,76000,37.4806387,126.9529622,310.1146920687196
분짜하노이,서울 관악구 관악로 154 분짜하노이,83450,37.4788977,126.9526427,133.1598517630449
불광옥,서울 관악구 봉천로 485 불광옥,126000,37.48200920000001,126.9538804,482.45763859956617
브라더,서울 관악구 신림로59길 브라더,100000,37.4832519,126.9287583,2089.1106161528046
블리스,서울 관악구 관악로12길 11 블리스,77300,37.4781838,126.9530122,131.70202540321506
비알코리아,서울 관악구 관악로 161 비알코리아,15440,37.4795693,126.9521709,173.69420655324026
빅히트물류,경기도 성남시 분당구 대왕판교로 660 빅히트물류,39700,37.368041,127.1013246,18020.750221949525
빕스,서울 관악구 남부순환로 1712 빕스,63400,37.5121805,126.9257502,4419.9919593963405
삐에스몽테과자점,서울 관악구 신림로 삐에스몽테과자점,26200,37.4703349,126.9389943,1402.4913410313666
사랑방,서울 관악구 원신길 13 사랑방,951000,37.5117833,126.9192576,4704.943479621471
사사꼬,서울 관악구 남부순환로 1842 사사꼬,467500,37.4802508,126.9545414,358.3444884010197
사시사철흑염소오리,서울 관악구 봉천로 535 사시사철흑염소오리,1048000,37.4788556,126.957453,529.9988254353891
사케사케,경기 광명시 소하로76번길 21 사케사케,78000,37.4525959,126.8819037,6767.135072573139
산야로,서울 관악구 관악로 111 산야로,1916000,37.475,126.9525,354.65431588549177
산책,경기 안양시 만안구 삼막로 66 산책,50000,37.42494629999999,126.9136898,6788.1851207349055
삼곱식당서울대역점,서울 관악구 관악로16길 38 삼곱식당서울대역점,306800,37.479681,126.9547122,332.0973689984756
삼다돈가(봉천점),서울 관악구 관악로 246 삼다돈가(봉천점),142000,37.4860961,126.9569794,1011.6594694102408
삼미옥,서울 관악구 남부순환로 1829-6 삼미옥,836000,37.4813076,126.9537171,406.3740388226069
삼미칼국수,서울 관악구 미성3길 12 삼미칼국수,18000,37.4739227,126.9165357,3122.1988216061904
삼백돈,서울 관악구 남부순환로230길 48 삼백돈,268000,37.47796,126.9552297,327.3411616695072
상도늘보리,서울 관악구 봉천로 379 상도늘보리,36000,37.4834716,126.9422398,1014.2510406809682
상도스시,서울 관악구 봉천로 299 상도스시,322000,37.4868737,126.934297,1806.5704439752199
새마을식당,서울 관악구 관악로16길 13 새마을식당,269000,37.4773606,126.9594955,708.1428211155398
생각보다맛있는집,서울 관악구 관악로 152 생각보다맛있는집,1134000,37.4836721,126.9542756,666.0862770510406
생각보다맛있는집,서울 금천구 가산로 33 생각보다맛있는집,24000,37.4711918,126.8991936,4681.3398269481595
서가앤쿡,서울 관악구 신림로 350 서가앤쿡,66400,37.4854721,126.9299512,2072.819047770402
서도면옥,서울 관악구 봉천로 377 서도면옥,152000,37.4835543,126.9419232,1042.2765205702183
