자치구,벚나무,LAT,LON
강동구,벚나무,37.5429658,127.1250887
강동구,벚나무,37.5435515,127.12508
강동구,벚나무,37.5593964,127.1435805
강동구,벚나무,37.5235125,127.1461061
강동구,벚나무,37.5237021,127.1463753
강동구,벚나무,37.5279837,127.148084
강동구,벚나무,37.5272008,127.1480269
강동구,벚나무,37.5398494,127.1239269
강동구,벚나무,37.5599536,127.143626
강동구,벚나무,37.5261997,127.1463694
강동구,벚나무,37.5264003,127.145619
강동구,벚나무,37.5403493,127.1238855
강동구,벚나무,37.5399654,127.1239676
강동구,벚나무,37.5243817,127.1469016
강동구,벚나무,37.5239144,127.1467014
강동구,벚나무,37.5221413,127.1457342
강동구,벚나무,37.5262203,127.147392
강동구,벚나무,37.5598295,127.1435817
강동구,벚나무,37.5260281,127.1473058
강동구,벚나무,37.5434798,127.1250526
강동구,벚나무,37.5260267,127.146614
강동구,벚나무,37.5245154,127.1467092
강동구,벚나무,37.5190414,127.1445201
강동구,벚나무,37.517436,127.1438858
강동구,벚나무,37.520697,127.1451872
강동구,벚나무,37.5408316,127.1242965
강동구,벚나무,37.5451973,127.1258833
강동구,벚나무,37.5588349,127.1519901
강동구,벚나무,37.525053,127.1469192
강동구,벚나무,37.5208903,127.1452629
강동구,벚나무,37.543932,127.1252091
강동구,벚나무,37.5598867,127.1435978
강동구,벚나무,37.5450133,127.1255896
강동구,벚나무,37.5415358,127.1245708
강동구,벚나무,37.5591926,127.1436
강동구,벚나무,37.5191512,127.1445629
강동구,벚나무,37.5472567,127.1266325
강동구,벚나무,37.5327081,127.1503247
강동구,벚나무,37.5450284,127.1258249
강동구,벚나무,37.5253874,127.1470545
강동구,벚나무,37.5254377,127.1470821
강동구,벚나무,37.5412253,127.1242009
강동구,벚나무,37.5417376,127.124636
강동구,벚나무,37.526424,127.1455356
강동구,벚나무,37.5466492,127.1264012
강동구,벚나무,37.5187122,127.1443886
강동구,벚나무,37.5235905,127.146323
강동구,벚나무,37.5408119,127.1240577
강동구,벚나무,37.5407452,127.1240345
강동구,벚나무,37.5261393,127.1465927
강동구,벚나무,37.5453308,127.126034
강동구,벚나무,37.5445081,127.1254084
강동구,벚나무,37.5240696,127.1465215
강동구,벚나무,37.5222902,127.1457935
강동구,벚나무,37.559836,127.1434617
강동구,벚나무,37.5599443,127.1434099
강동구,벚나무,37.5263904,127.1474519
강동구,벚나무,37.5223502,127.14581
강동구,벚나무,37.5210052,127.145309
강동구,벚나무,37.5261,127.1463343
강동구,벚나무,37.5247915,127.1468205
강동구,벚나무,37.5263902,127.1452315
강동구,벚나무,37.524262,127.1466042
