,2022-01-01 ~ 2022-01-31,,,,,,,,,
,키워드,지출,노출,클릭 ,CTR,CPC,CPA,구매,매출,ROAS
,할머니설날선물, ₩ 583 ,  1 ,  1 ,100.00%, ₩ 583 , ₩ - ,  - ,  - ,0.00%
,아기이유식소고기, ₩ 572 ,  36 ,  1 ,2.78%, ₩ 572 , ₩ - ,  - ,  - ,0.00%
,한우안심200G, ₩ 561 ,  2 ,  1 ,50.00%, ₩ 561 , ₩ - ,  - ,  - ,0.00%
,한우1++등심, ₩ 550 ,  4 ,  1 ,25.00%, ₩ 550 , ₩ - ,  - ,  - ,0.00%
,소고기부챗살, ₩ 550 ,  51 ,  1 ,1.96%, ₩ 550 , ₩ - ,  - ,  - ,0.00%
,한우스테이크용, ₩ 528 ,  1 ,  1 ,100.00%, ₩ 528 , ₩ - ,  - ,  - ,0.00%
,등심원육, ₩ 506 ,  19 ,  1 ,5.26%, ₩ 506 , ₩ - ,  - ,  - ,0.00%
,스테이크요리, ₩ 506 ,  17 ,  1 ,5.88%, ₩ 506 , ₩ - ,  - ,  - ,0.00%
,소등심스테이크, ₩ 495 ,  1 ,  1 ,100.00%, ₩ 495 , ₩ - ,  - ,  - ,0.00%
,한우꽃갈비, ₩ 451 ,  5 ,  1 ,20.00%, ₩ 451 , ₩ - ,  - ,  - ,0.00%
,숯불소고기, ₩ 451 ,  22 ,  1 ,4.55%, ₩ 451 , ₩ - ,  - ,  - ,0.00%
,설선물한우세트, ₩ 418 ,  6 ,  1 ,16.67%, ₩ 418 , ₩ - ,  - ,  - ,0.00%
,한우우둔살가격, ₩ 418 ,  15 ,  2 ,13.33%, ₩ 209 , ₩ - ,  - ,  - ,0.00%
,중기이유식소고기, ₩ 407 ,  6 ,  1 ,16.67%, ₩ 407 , ₩ 204 ,  2 ,  - ,0.00%
,등심덩어리, ₩ 396 ,  5 ,  1 ,20.00%, ₩ 396 , ₩ - ,  - ,  - ,0.00%
,소고기양지국거리, ₩ 385 ,  16 ,  1 ,6.25%, ₩ 385 , ₩ - ,  - ,  - ,0.00%
,소알꼬리, ₩ 341 ,  5 ,  1 ,20.00%, ₩ 341 , ₩ - ,  - ,  - ,0.00%
,이유식우둔살, ₩ 308 ,  29 ,  1 ,3.45%, ₩ 308 , ₩ - ,  - ,  - ,0.00%
,유아소고기, ₩ 297 ,  8 ,  1 ,12.50%, ₩ 297 , ₩ - ,  - ,  - ,0.00%
,안심추천, ₩ 297 ,  5 ,  1 ,20.00%, ₩ 297 , ₩ - ,  - ,  - ,0.00%
,대패등심, ₩ 286 ,  8 ,  1 ,12.50%, ₩ 286 , ₩ - ,  - ,  - ,0.00%
