"캠페인보고서(2021.10.01.~2021.12.31.),colosseumkr:naver",,,,,,,,,,,,,
캠페인유형,캠페인,광고그룹,소재,키워드,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,전환수,전환율(%),전환당비용(원)
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류기업,857,0,0,0,0,12.8,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류대행,358,2,0.56,"1,639","3,278",21.4,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류대행비용,333,0,0,0,0,7.8,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류대행사,382,0,0,0,0,12.3,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류대행서비스,728,0,0,0,0,12.9,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류대행업체,213,0,0,0,0,20.4,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류배송,979,0,0,0,0,10.7,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류배송대행,729,0,0,0,0,12.3,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류배송센타,422,0,0,0,0,10.6,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류배송업체,426,0,0,0,0,4.3,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류보관,404,0,0,0,0,15.8,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류보관비용,352,0,0,0,0,6,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류보관센터,424,0,0,0,0,9.4,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류보관창고,540,0,0,0,0,17.1,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류비,"1,151",0,0,0,0,7.5,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류비견적,380,0,0,0,0,10.2,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류비용,"1,085",1,0.1,924,924,5,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류서비스,809,0,0,0,0,12,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류센터,12,0,0,0,0,11.6,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류센터개발,1,0,0,0,0,3,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류센터신축공사,1,0,0,0,0,2,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류센터운영,2,0,0,0,0,2,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류센터임대,4,0,0,0,0,5.5,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류솔루션,600,1,0.17,77,77,11.8,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류스타트업,24,0,0,0,0,13.6,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류시스템,378,0,0,0,0,19,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류쎈타,18,1,5.56,77,77,1,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류아웃소싱,797,1,0.13,"1,386","1,386",12.3,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류업체,"1,573",2,0.13,"1,045","2,090",11.4,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류업체순위,13,0,0,0,0,3.2,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류운임,15,0,0,0,0,2.1,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류위탁,430,0,0,0,0,12.4,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류유통,978,0,0,0,0,3,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류자동화,132,0,0,0,0,22.1,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류재고관리,455,0,0,0,0,15.7,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류전문회사,4,0,0,0,0,4.5,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류창고,152,0,0,0,0,8.6,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류창고가격,7,0,0,0,0,4.4,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류창고건축,54,0,0,0,0,9.8,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류창고공사,9,0,0,0,0,13.4,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류창고관리,878,0,0,0,0,7.6,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류창고대여,29,1,3.45,330,330,5.8,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류창고매매,198,0,0,0,0,7.3,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류창고바닥,13,0,0,0,0,4.2,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류창고보관료,22,0,0,0,0,14.1,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류창고사업,189,0,0,0,0,1.8,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류창고설계,10,0,0,0,0,14.6,0,0,0
