검색어,캠페인,클릭수,비용,CPC,사용자,세션,이탈률,세션당 페이지수,문의하기 완료(유효성체크완료) (목표 5 전환율),문의하기 완료(유효성체크완료) (목표 5 완료 수)
고구마 오래 보관 하는 방법,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
고구마 오래 보관 하는 방법,2_주력 상품,1,238.00,238.00,0,0,0.00%,0.00,0.00%,0
고구마 저장 창고 온도 보관 방법,④_냉장냉동,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
고기 냉장고,2_주력 상품,1,300.00,300.00,0,0,0.00%,0.00,0.00%,0
고기 저장 냉장,④_냉장냉동,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
고령 공장 매매,①_창고,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
고무 바킹,3_비주력 상품,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
고산 택배,2_주력 상품,1,158.00,158.00,0,0,0.00%,0.00,0.00%,0
고산 택배,3_비주력 상품,1,141.00,141.00,0,0,0.00%,0.00,0.00%,0
고속 버스 택배,②_택배,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
고속 버스 택배,3_비주력 상품,1,60.00,60.00,0,0,0.00%,0.00,0.00%,0
고양 신선 식품,④_냉장냉동,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
고양 쿠팡 풀필 먼트 서비스,③_3PL/4PL,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
고양시 지영동 농가 주택 매매,①_창고,0,0.00,0.00,1,1,0.00%,2.00,0.00%,0
고양시 창고 매매,①_창고,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
고양시 창고 매매,3_비주력 상품,1,237.00,237.00,0,0,0.00%,0.00,0.00%,0
고춧가루 보관 방법,2_주력 상품,2,534.00,267.00,0,0,0.00%,0.00,0.00%,0
고춧가루 보관 하는 꿀팁,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
곤지암 물류 센터,③_기타,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
곤지암 물류 센터,3_비주력 상품,1,289.00,289.00,0,0,0.00%,0.00,0.00%,0
곤지암 쿠팡,2_주력 상품,1,116.00,116.00,0,0,0.00%,0.00,0.00%,0
곤지암 hub 간선 상차,3_비주력 상품,1,117.00,117.00,0,0,0.00%,0.00,0.00%,0
골 제로 직구 사이트,②_드랍쉬핑,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
골프 택배,②_택배,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
골프 택배,3_비주력 상품,1,272.00,272.00,0,0,0.00%,0.00,0.00%,0
골프화이 월 상품,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
골프화이 월 상품,2_주력 상품,1,41.00,41.00,0,0,0.00%,0.00,0.00%,0
곰신 택배,②_택배,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
곰신 택배,3_비주력 상품,1,438.00,438.00,0,0,0.00%,0.00,0.00%,0
곰치 택배,②_택배,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
공공 배송,②_택배,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
공공 배송,3_비주력 상품,1,170.00,170.00,0,0,0.00%,0.00,0.00%,0
